Row,Col,Strain,Color
A,1,G,#4daf4a
A,2,G,#4daf4a
A,3,G,#4daf4a
A,4,G,#4daf4a
A,5,RG,#377eb8
A,6,RG,#377eb8
A,7,RG,#377eb8
A,8,RG,#377eb8
A,9,R,#e41a1c
A,10,R,#e41a1c
A,11,R,#e41a1c
A,12,R,#e41a1c
B,1,G,#4daf4a
B,2,G,#4daf4a
B,3,G,#4daf4a
B,4,G,#4daf4a
B,5,RG,#377eb8
B,6,RG,#377eb8
B,7,RG,#377eb8
B,8,RG,#377eb8
B,9,R,#e41a1c
B,10,R,#e41a1c
B,11,R,#e41a1c
B,12,R,#e41a1c
C,1,G,#4daf4a
C,2,G,#4daf4a
C,3,G,#4daf4a
C,4,G,#4daf4a
C,5,RG,#377eb8
C,6,RG,#377eb8
C,7,RG,#377eb8
C,8,RG,#377eb8
C,9,R,#e41a1c
C,10,R,#e41a1c
C,11,R,#e41a1c
C,12,R,#e41a1c
D,1,G,#4daf4a
D,2,G,#4daf4a
D,3,G,#4daf4a
D,4,G,#4daf4a
D,5,RG,#377eb8
D,6,RG,#377eb8
D,7,RG,#377eb8
D,8,RG,#377eb8
D,9,R,#e41a1c
D,10,R,#e41a1c
D,11,R,#e41a1c
D,12,R,#e41a1c
E,1,G,#4daf4a
E,2,G,#4daf4a
E,3,G,#4daf4a
E,4,G,#4daf4a
E,5,RG,#377eb8
E,6,RG,#377eb8
E,7,RG,#377eb8
E,8,RG,#377eb8
E,9,R,#e41a1c
E,10,R,#e41a1c
E,11,R,#e41a1c
E,12,R,#e41a1c
F,1,G,#4daf4a
F,2,G,#4daf4a
F,3,G,#4daf4a
F,4,G,#4daf4a
F,5,RG,#377eb8
F,6,RG,#377eb8
F,7,RG,#377eb8
F,8,RG,#377eb8
F,9,R,#e41a1c
F,10,R,#e41a1c
F,11,R,#e41a1c
F,12,R,#e41a1c
G,1,G,#4daf4a
G,2,G,#4daf4a
G,3,G,#4daf4a
G,4,G,#4daf4a
G,5,RG,#377eb8
G,6,RG,#377eb8
G,7,RG,#377eb8
G,8,RG,#377eb8
G,9,R,#e41a1c
G,10,R,#e41a1c
G,11,R,#e41a1c
G,12,0,#ffffff
H,1,G,#4daf4a
H,2,G,#4daf4a
H,3,G,#4daf4a
H,4,G,#4daf4a
H,5,RG,#377eb8
H,6,RG,#377eb8
H,7,RG,#377eb8
H,8,RG,#377eb8
H,9,R,#e41a1c
H,10,R,#e41a1c
H,11,R,#e41a1c
H,12,0,#ffffff
