Row,Col,Strain,Color
A,1,0,#ffffff
A,2,0,#ffffff
A,3,0,#ffffff
A,4,0,#ffffff
A,5,0,#ffffff
A,6,0,#ffffff
A,7,0,#ffffff
A,8,0,#ffffff
A,9,0,#ffffff
A,10,0,#ffffff
A,11,0,#ffffff
A,12,0,#ffffff
B,1,1,#e41a1c
B,2,2,#377eb8
B,3,1,#e41a1c
B,4,2,#377eb8
B,5,1,#e41a1c
B,6,2,#377eb8
B,7,1,#e41a1c
B,8,2,#377eb8
B,9,1,#e41a1c
B,10,2,#377eb8
B,11,1,#e41a1c
B,12,2,#377eb8
C,1,2,#377eb8
C,2,1,#e41a1c
C,3,2,#377eb8
C,4,1,#e41a1c
C,5,2,#377eb8
C,6,1,#e41a1c
C,7,2,#377eb8
C,8,1,#e41a1c
C,9,2,#377eb8
C,10,1,#e41a1c
C,11,2,#377eb8
C,12,1,#e41a1c
D,1,1,#e41a1c
D,2,2,#377eb8
D,3,1,#e41a1c
D,4,2,#377eb8
D,5,1,#e41a1c
D,6,2,#377eb8
D,7,1,#e41a1c
D,8,2,#377eb8
D,9,1,#e41a1c
D,10,2,#377eb8
D,11,1,#e41a1c
D,12,2,#377eb8
E,1,2,#377eb8
E,2,1,#e41a1c
E,3,2,#377eb8
E,4,1,#e41a1c
E,5,2,#377eb8
E,6,1,#e41a1c
E,7,2,#377eb8
E,8,1,#e41a1c
E,9,2,#377eb8
E,10,1,#e41a1c
E,11,2,#377eb8
E,12,1,#e41a1c
F,1,1,#e41a1c
F,2,2,#377eb8
F,3,1,#e41a1c
F,4,2,#377eb8
F,5,1,#e41a1c
F,6,2,#377eb8
F,7,1,#e41a1c
F,8,2,#377eb8
F,9,1,#e41a1c
F,10,2,#377eb8
F,11,1,#e41a1c
F,12,2,#377eb8
G,1,2,#377eb8
G,2,1,#e41a1c
G,3,2,#377eb8
G,4,1,#e41a1c
G,5,2,#377eb8
G,6,1,#e41a1c
G,7,2,#377eb8
G,8,1,#e41a1c
G,9,2,#377eb8
G,10,1,#e41a1c
G,11,2,#377eb8
G,12,1,#e41a1c
H,1,1,#e41a1c
H,2,2,#377eb8
H,3,1,#e41a1c
H,4,2,#377eb8
H,5,1,#e41a1c
H,6,2,#377eb8
H,7,1,#e41a1c
H,8,2,#377eb8
H,9,1,#e41a1c
H,10,2,#377eb8
H,11,1,#e41a1c
H,12,2,#377eb8
