Row,Col,Color,Strain
A,1,#ffffff,0
A,2,#ffffff,0
A,3,#ffffff,0
A,4,#ffffff,0
A,5,#ffffff,0
A,6,#ffffff,0
A,7,#ffffff,0
A,8,#ffffff,0
A,9,#ffffff,0
A,10,#ffffff,0
A,11,#ffffff,0
A,12,#ffffff,0
B,1,#e41a1c,R
B,2,#4daf4a,G
B,3,#e41a1c,R
B,4,#4daf4a,G
B,5,#e41a1c,R
B,6,#4daf4a,G
B,7,#e41a1c,R
B,8,#4daf4a,G
B,9,#e41a1c,R
B,10,#4daf4a,G
B,11,#e41a1c,R
B,12,#4daf4a,G
C,1,#4daf4a,G
C,2,#e41a1c,R
C,3,#4daf4a,G
C,4,#e41a1c,R
C,5,#4daf4a,G
C,6,#e41a1c,R
C,7,#4daf4a,G
C,8,#e41a1c,R
C,9,#4daf4a,G
C,10,#e41a1c,R
C,11,#4daf4a,G
C,12,#e41a1c,R
D,1,#e41a1c,R
D,2,#4daf4a,G
D,3,#e41a1c,R
D,4,#4daf4a,G
D,5,#e41a1c,R
D,6,#4daf4a,G
D,7,#e41a1c,R
D,8,#4daf4a,G
D,9,#e41a1c,R
D,10,#4daf4a,G
D,11,#e41a1c,R
D,12,#4daf4a,G
E,1,#4daf4a,G
E,2,#e41a1c,R
E,3,#4daf4a,G
E,4,#e41a1c,R
E,5,#4daf4a,G
E,6,#e41a1c,R
E,7,#4daf4a,G
E,8,#e41a1c,R
E,9,#4daf4a,G
E,10,#e41a1c,R
E,11,#4daf4a,G
E,12,#e41a1c,R
F,1,#e41a1c,R
F,2,#4daf4a,G
F,3,#e41a1c,R
F,4,#4daf4a,G
F,5,#e41a1c,R
F,6,#4daf4a,G
F,7,#e41a1c,R
F,8,#4daf4a,G
F,9,#e41a1c,R
F,10,#4daf4a,G
F,11,#e41a1c,R
F,12,#4daf4a,G
G,1,#4daf4a,G
G,2,#e41a1c,R
G,3,#4daf4a,G
G,4,#e41a1c,R
G,5,#4daf4a,G
G,6,#e41a1c,R
G,7,#4daf4a,G
G,8,#e41a1c,R
G,9,#4daf4a,G
G,10,#e41a1c,R
G,11,#4daf4a,G
G,12,#e41a1c,R
H,1,#e41a1c,R
H,2,#4daf4a,G
H,3,#e41a1c,R
H,4,#4daf4a,G
H,5,#e41a1c,R
H,6,#4daf4a,G
H,7,#e41a1c,R
H,8,#4daf4a,G
H,9,#e41a1c,R
H,10,#4daf4a,G
H,11,#e41a1c,R
H,12,#4daf4a,G
